id,class,title,writer,like,content,c_num,c1_name,c1_content,c1_RN,c2_name,c2_content,c2_RN,c3_name,c3_content,c3_RN,r1_name,r1_content
1,0,"2046년 아이돌판 미쳤다, 데뷔 하루 만에 해체 선언ㅋㅋ",익명,233,데뷔곡 공개되자마자 3시간 만에 멤버 두 명 탈퇴 공지 뜸. 근데 데뷔곡 들어보니까 왜 탈퇴 했는지 알겠더라 ㅋㅋㅋㅋㅋ 아니 노래가 너무 구려 무슨 2010년대 노래 같네 ㅋㅋㅋㅋ ,2,익명1,말이 되냐?,0,익명2,돌판이 장난인가 노래 안 좋다고 해체하면 이게 맞냐?,0,,,,,
2,0,지금 은행 앱 로그인하는데 본인 인증 4단계임ㅋㅋ,익명,442,"지문, 홍채, 심박수, 그리고 ‘감정 스캔’이 마지막이래. 화난 상태면 금융거래 제한된다는데 ㅅㅂ 이거 진짜 언제까지 해야하냐 ㅅㅂ 커피 한잔 마시자",2,익명1,진짜 개 말도 안 되는거 다 갖고옴,0,익명2,비밀번호 절대 까먹으면 안 됨 ㅋㅋㅋ,0,,,,,
3,1,정부 보고서 조작? 진짜로 속은 거임ㅋㅋ,익명,235,"오늘 온라인에서 내부 제보 글 봤는데, 정부 지구 안정성 보고서가 일부러 조작됐다는 폭로가 올라왔더라. 익명 공무원이라는 사람이 “상부 지시로 데이터 수정됐다”고 했다고 함. 진짜 웃기지 않냐, 우리 세금으로 만든 보고서가 조작이라니. 온라인에서는 이미 ‘거짓말 타임라인’이 돌고 있음. 사람들 댓글 보니까 “이제 정부 말 믿는 사람 0명” 이런 분위기. 나도 솔직히 화성행 우주선보다 이 사건이 더 충격임.",3,익명1,ㄹㅇㅋㅋ 우리 다 속았네,0,익명2,정부 발표 볼 때마다 웃프다 진짜,0,익명3,이제 뉴스는 그냥 소설임,0,,
4,1,정책 바뀌는 속도 보고 내 눈 의심함,익명,643,"화성 이주 프로젝트 관련 정책이 하루가 다르게 바뀌고 있음. 무계급 선발제 없애고, 배급 정책은 일주일마다 수정. 시민들은 “매일 뭔가 바뀌네” 하면서 피로감 폭발 중. 전문가들은 “이러다 체제 붕괴”라고 경고. 나도 솔직히 정책보다 이 바뀌는 속도가 더 무섭더라. 지금 우리 삶이 실험 대상인 느낌임.",3,익명1,바뀌는 속도 장난 아님,0,익명2,내 정신 건강 챙기기 힘든 수준,0,익명3,화성보다 정책이 더 험난하네,0,,
5,1,"숨겨진 보고서 유출, 정부 믿을 수 있냐?",익명,334,"6개월 전 작성된 보고서가 유출됐다고 함. 내용 보니 “지구 생태 안정화 가능”이라는 문장이 있었음에도, 정부는 공포 분위기 조성. 국민을 멸망 위기 속에 몰아넣은 이유가 뭘까? 전문가들은 “왜 숨겼는지 조사해야 한다”고 함. 나 같은 일반 시민은 그냥 어이가 없음. 정부 믿으라고 이러는 건가, 아니면 국민 테스트 중인 건가.",3,익명1,숨기면 뭔가 있어 보이는 법,0,익명2,이제 정부 발표는 다 의심부터 해야 함,0,익명3,공포 마케팅 수준ㅋㅋ,0,,
6,1,내부 문건 유출… 탑승 비율이 현실이랑 ㅋㅋ,익명,832,"국가안전처 문건에 따르면, 3계급 시민 탑승 비율이 0.03%라고 함. 공식 발표는 12%라더라. 대체 뭐야, 이렇게 차이나면 믿을 수가 있냐고. 대변인은 “초안일 뿐”이라는데, 국민 여론은 싸늘함. 진짜 정부는 왜 이렇게 매번 신뢰를 시험하는 걸까. 우주선 타는 사람보다, 시민이 진짜 시험받는 느낌임.",3,익명1,진짜 속았다 ㅋㅋ,0,익명2,초안이라고 믿으라고?,0,익명3,개콘이 망한 이유가 여깄네 ,0,,
7,2,화성행? 그냥 상위 계급 놀이 아닐까,익명,234,"진짜 화성 이주 발표 보면서 한숨만 나옴. 지원서는 3계급 다 냈다는데, 뽑힌 사람들 보니까 상위 계급 위주라더라. 그냥 정책이란 이름 붙인 부자 장난 아니냐고. 현실은 돈 있는 사람만 로켓 타고, 나머진 구경만 하는 구조임.",3,익명1,ㅋㅋ 역시 돈이면 뭐든 가능,0,익명2,정부 발표 믿으면 바보 되는 시대,0,익명3,화성=부자들의 놀이터,0,,
8,2,기술 부족한 건 숨기고 홍보만 장난,익명,452,"화성 이주 기술 완전히 실험실 수준인데, 정부는 “성공적 발사”만 강조함. 솔직히 이건 홍보지, 현실적 준비는 전혀 아님. 산소·생존 시스템도 불안정하다면서 왜 국민을 안심시키는 척하는지 모르겠음.",3,익명1,정부 장난에 피곤함,0,익명2,"화성 타면 죽음, 발표 보면 멘탈 파탄",0,익명3,홍보=멘탈 세탁,0,,
9,2,"정책은 매번 바뀌고, 국민만 피곤하다",익명,3744,"무계급 선발제는 삭제, 배급 정책은 일주일마다 바뀌고… 진짜 매번 정책 따라가는 게 전쟁임. 화성 이주보다 정책 혼선이 더 현실적 위기임. 이렇게 흔들리면서 누가 정부 발표 믿겠냐고.",3,익명1,매일 바뀌니까 정신 못 차림,0,익명2,화성보다 정책이 더 험난함,0,익명3,믿을 수 있는 건 없고 피로감만 쌓임,0,,
10,2,우주선보다 멘탈 먼저 챙겨야 함,익명,163,"화성 이주선 발사 성공했다는데, 착륙 안정성이나 생존 가능성은 미지수. 기술도 불완전하고, 장기 거주 가능성은 실험실 단계 수준. 솔직히 우주보다 멘탈 먼저 점검해야 할 것 같음.",3,익명1,현실이 우주보다 무서움,0,익명2,멘탈 보호 필수ㅋㅋ,0,익명3,정부 발표=드립 수준,0,,
