id,class,title,reporter,like,dislike,content,c1_name,c1_content,c2_name,c2_content,c3_name,c3_content,c4_name,c4_content
1,0,"“화성보다 뜨거운 무대”… 가수 라하, 신곡 ‘Orbit’으로 복귀",윤슬아 ,89,14,"한때 ‘지구의 목소리’로 불리던 가수 **라하(La-Ha)**가 3년의 공백 끝에 돌아왔다.<n>그가 선택한 복귀 무대의 제목은 다소 의미심장하다 — ‘Orbit(궤도)’.<n>이 노래는 화성 이주 이후 ‘남겨진 자들’의 마음을 은유적으로 담아낸 곡으로,<n>지금의 시대에 가장 ‘지구적인’ 메시지를 던진다는 평가를 받고 있다.<n><n>라하는 지난밤 서울 광명돔에서 열린 컴백 쇼케이스에서<n>“이 노래는 다시 시작하는 사람들을 위한 노래”라며 눈시울을 붉혔다.<n>공연은 단 한 곡의 라이브 무대로 진행됐지만,<n>1시간 만에 1,200만 명이 동시 접속하며<n>‘화성 중계보다 더 뜨거운 무대’라는 댓글이 실시간으로 쏟아졌다.<n><n>신곡 ‘Orbit’은 어쿠스틱 기반의 일렉 사운드와<n>AI 합성 보컬 기술이 결합된 하이브리드 곡이다.<n>음악 데이터 일부는 실제 화성 대기 음파를 디지털 샘플링한 것으로 알려져,<n>“지구와 화성이 공명하는 음악”이라는 평가를 받고 있다.<n>뮤직비디오는 2049년 현재 폐쇄된 구 도심 지역에서 촬영됐으며,<n>라하는 직접 연출에도 참여했다.<n><n>공백기 동안 라하는 SNS 활동조차 중단한 채<n>“무대 대신 삶을 관찰하는 시간이었다”고 말했다.<n>그는 “노래는 여전히 나를 구한다.<n>단지 이번엔 내가 세상을 구하려는 마음으로 썼다”고 덧붙였다.<n><n>음악 평론가 박연수는 “라하의 복귀는 단순한 컴백이 아니다.<n>‘Orbit’은 인간이 기술과 시스템에 잠식된 시대에<n>여전히 감정을 지키려는 예술의 저항이다”라고 평했다.<n><n>한편, 라하의 컴백과 동시에<n>화성 이주 프로젝트 관련 뉴스 검색량이 17% 감소하며<n>‘음악이 사람들을 다시 현실로 불러왔다’는 평가도 나왔다.",양사츄,2년만에 복귀라니 진짜 기대된다,시먼스,라하언니!! 드디어 돌아왔다!! 1등아 자리 비켜라~!!,세송이,라하언니도 화성 가요?,심청이,김라하! 김라하! 너무 오래 기다렸다ㅠㅠ
2,0,"국가대표 이민수, ‘지구 마지막 마라톤’서 세계 신기록 달성",이강민,182,3,"인류가 지구를 떠나기 전 마지막으로 열린 국제 마라톤 대회에서<n>한국의 국가대표 이민수(34) 선수가 **세계 신기록(1시간 57분 03초)**을 달성하며 역사에 남는 피니시를 기록했다.<n>이 대회는 “The Last Earth Marathon 2049”라는 이름으로 개최된,<n>지구상 마지막 공식 국제 육상 경기였다.<n><n>대회는 서울에서 부산까지 이어지는 400km 코스 중<n>환경 오염과 붕괴로 사라진 구간을 피한 복원 루트를 따라 진행됐다.<n>산소 농도 60% 수준의 불안정한 대기,<n>40도를 넘나드는 기온 속에서도<n>이민수는 끝까지 페이스를 유지하며<n>인류가 남긴 마지막 ‘기록’의 주인공이 되었다.<n><n>결승선을 통과한 그는<n>“이건 승리가 아니라 작별입니다.<n>하지만 인간은 끝까지 달릴 수 있는 존재임을 보여주고 싶었습니다”라며<n>마라톤화를 벗어든 채 눈물을 보였다.<n><n>이 대회는 국제올림픽위원회(IOC)와 세계기록협회(WRA)가<n>“지구 환경 악화로 인한 스포츠 경기 불가 선언”을 발표한 이후<n>단 한 번만 허용된 **‘지구의 마지막 공식 경기’**였다.<n>경기장에는 약 2만 명의 관중이 직접 모였으며,<n>전 세계 43억 명이 실시간 중계로 경기를 지켜봤다.<n><n>국제 스포츠 분석센터는<n>이민수의 기록을 두고 “인간의 생리적 한계치를 넘은 시간”이라 평가했다.<n>화성 중력 환경에서의 달리기 연구가 이미 시작된 가운데,<n>이민수의 경기 데이터는 향후 ‘비지구 중력 스포츠 모델’의 기준값으로 활용될 전망이다.",별하,진짜 끝까지 멋있다 이민수,미르,"지금 투병 5년쨰인 학생입니다, 민수님의 절대 포기하지 않는 모습 덕분에 힘 얻고 가툐",토리,마라톤은 정말 낭만이 있다,뭉게,선수님! 너무 수고 많으셨어요!
3,0,"AI 셰프 경연 ‘쿠킹코드’ 결승전, 아시아 우승자 3년 만에 한국서 탄생",박하영,263,4,"요리를 손으로 하는 시대는 이미 끝났다.<n>대신, 요리를 ‘코드로 짜는’ 셰프들이 경쟁하는 시대가 도래했다.<n><n>지난밤 서울 스마트도시 식문화센터에서 열린 제9회 AI 셰프 경연대회 ‘쿠킹코드(Cooking Code)’ 결승전에서<n>한국의 장유림(29) 프로그래머 셰프가 아시아 대표로 우승을 차지했다.<n>이는 지난 3년간 유럽권이 독식하던 대회에서 아시아 출신이 다시 정상에 오른 첫 사례다.<n><n>‘쿠킹코드’는 인간 셰프가 직접 요리하지 않는다.<n>대신 AI 조리 로봇과 생체 데이터 센서, 기계학습 기반 맛 예측 엔진을 연결해,<n>참가자가 작성한 코드 한 줄이 즉시 조리 알고리즘으로 변환되는 방식이다.<n>즉, 레시피는 ‘언어’가 아니라 ‘명령어’이며,<n>요리사는 ‘요리사’가 아니라 감각을 설계하는 프로그래머다.<n><n>이번 결승전의 주제는 “기억의 맛, 데이터로 재현하라.”<n>장유림 셰프는 어린 시절 외할머니의 된장찌개를 재현하기 위해<n>AI에 4,812개의 향 데이터와 276개의 인간 감정 변수를 학습시켰다.<n>결과물은 단순히 향과 맛을 흉내 낸 음식이 아니라,<n>시식자들의 심박수와 뇌파에서 실제 ‘향수(鄕愁)’ 반응을 유발했다.<n>심사위원단은 이를 “기술이 인간의 감정을 되살린 최초의 요리”라 평가했다.<n><n>세계조리협회(WCCA) 기술자문위원 마이클 젠슨 박사는<n>“이제 요리는 손맛이 아니라 **데이터 맛(Data Taste)**의 시대”라며<n>“AI 셰프 시스템은 인간 감각의 총합을 알고리즘으로 전환하는 새로운 예술형식”이라고 말했다.<n><n>현재 ‘쿠킹코드’ 시스템은 12개국에서 상용화되어 있으며,<n>대형 레스토랑에서는 이미 **조리사 대신 코더(Coder)**가 근무 중이다.<n>AI는 고객의 생체 반응을 실시간으로 수집해<n>‘당신이 모르는 당신의 취향’을 분석하고<n>가장 높은 만족도를 예측하는 메뉴를 즉석에서 조합한다.",청춘기록,역시 대한민국!!,참외뫼,얼마나 대단한건지 모르는 사람이 있을까? 팀코리아 고생하셨습니다!,세상은날,3년만에 아시아에서 그것도 대한민국에서 우승자라니 !!!,콩알,다음 시즌도 일등 가자~!!
4,0,“지구멸망보다 학교가 더 무서워요” 청소년 스트레스 지수 급등,임서준,45,87,"화성 이주 뉴스가 연일 이어지는 가운데,<n>지구에 남은 청소년들의 스트레스 지수가 역대 최고치를 기록했다.<n>한국청소년정신건강연구원(KIYMH)이 발표한 보고서에 따르면,<n>전국 중·고등학생 1만 2000명을 대상으로 실시한 조사에서<n>응답자의 **82.4%가 “지구 멸망보다 학교가 더 무섭다”**고 답했다.<n><n>연구원은 이 수치를 두고 “단순한 농담이 아닌,<n>현실에 대한 냉소와 탈진의 표현”이라 분석했다.<n>보고서에 따르면, 학생들은 하루 평균 수면 시간이 3.8시간에 불과하며,<n>75%가 “학업으로 인한 지속적인 피로와 불안”을 호소했다.<n>심지어 일부 응답자는 “화성 가는 명단보다 내 등수 순위가 더 신경 쓰인다”고 답했다.<n><n>교육계는 이러한 현상을 **‘포스트-미래 불안(Post-Future Anxiety)’**으로 규정했다.<n>이는 지구의 불안한 미래보다 ‘지금의 경쟁 구조’가 더 직접적인 생존 위협으로 인식되는 현상이다.<n>서울 D고등학교 교사 이정수는 “아이들이 이미 ‘종말’을 뉴스에서 배웠지만,<n>정작 교실 안에서는 여전히 ‘성적’을 두려워한다”고 말했다.<n><n>전문가들은 특히 AI 평가 시스템 도입 이후 스트레스 지수가 급등했다고 지적했다.<n>AI가 학생들의 학습 태도, 감정 패턴, 집중도까지 수치화하며<n>사람보다 더 냉정하게 학생을 ‘점수화’하기 때문이다.<n>한 학생은 인터뷰에서 “시험보다 카메라가 더 무섭다”며<n>“내 표정까지 평가받는 기분”이라고 토로했다.<n><n>정부는 이번 조사 결과를 반영해<n>‘청소년 정신 회복 프로젝트’를 추진 중이지만,<n>교육부 관계자는 “예산보다 현실이 더 빠르게 무너지고 있다”고 밝혔다.",복숭아맛,청소년들아 다들 그런 시절을 겪었어,갸룩,나도 힘들었다는 말할 필요 없음 그냥 보듬어 주면 됨,박지민사랑해,학교 존* 가기 싫음,해피 ,제 딸도 맨날 학교 가기 싫다 울며불며 난리네요 ㅠ
5,0,"패션 브랜드 ‘루멘’, ‘지구 잔류민 한정 컬렉션’ 발표",한도윤,66,17,"고급 패션 브랜드 **‘루멘(LUMEN)’**이 오늘,<n>화성 이주 시대를 맞아 지구에 남은 시민들을 위한<n>**‘잔류민 한정 컬렉션 (The Last Earth Line)’**을 공식 발표했다.<n><n>이번 컬렉션은 단순한 의류 시리즈가 아니다.<n>루멘은 “지구에 남기로 선택한 이들의 존엄을 기념한다”며,<n>**‘멸망의 시대에도 빛나는 인간의 존재감’**이라는 콘셉트를 전면에 내세웠다.<n>모든 제품은 재활용된 대기정화 필터, 산소 공급 모듈용 섬유 등<n>‘생존 기술 소재’를 예술적 디자인으로 재해석한 것이 특징이다.<n><n>대표작 ‘O₂ Veil 재킷’은<n>착용자의 호흡 리듬에 따라 발광 패턴이 변하며,<n>‘지구의 숨’을 시각적으로 표현한다.<n>또한 루멘은 전 제품의 생산량을 지구 거주 인구의 0.03%로 한정해<n>“소비가 아닌 선언”이라는 메시지를 덧붙였다.<n><n>브랜드 크리에이티브 디렉터 한도윤은 발표회에서 이렇게 말했다.<n><n>“이 옷은 살아남기 위한 방어구이자,<n>사라져가는 지구의 마지막 언어입니다.”<n><n>이번 컬렉션은 서울, 파리, 뉴호라이즌(화성 거점도시)에서 동시 공개되었지만,<n>실제 구매는 ‘지구 거주민 인증 칩’이 있어야만 가능하다.<n>덕분에 루멘 매장은 단순한 패션 부티크가 아니라<n>‘남겨진 자들의 상징 공간’으로 불리고 있다.<n><n>사회학자 김민호 박사는 이를 두고<n>“이 컬렉션은 패션이 아니라 기억의 유물”이라며<n>“화려함으로 절망을 견디려는 인간의 심리를 극명히 드러낸다”고 분석했다.",냠냠이,지구 잔류민 한정 ㅋㅋㅋ,연설그만,화성이나 보내주세요 놀리는것도 아니고,학교가기싫어,ㅋㅋㅋ 지구 잔류민 한정ㅋㅋㅋ 그지 컬렉션이라는건가?,라온,루멘 진짜 실망이네요
6,0,2037년 대정전 트라우마 극복 다룬 영화 ‘빛의 끝에서’ 개봉예정,유태양,462,28,"인류 역사상 최악의 재난으로 기록된 ‘2037년 대정전’,<n>그 사건 이후 12년, 그 상처를 다시 마주하는 영화가 개봉을 앞두고 있다.<n><n>영화 **〈빛의 끝에서 (At the End of Light)〉**는<n>전 세계 통신망과 에너지 시스템이 동시에 마비됐던<n>‘2037 대정전 사태’ 이후 살아남은 사람들의 심리적 회복을 그린 작품이다.<n>감독은 인간 심리 묘사로 정평이 난 정윤하 감독,<n>주연에는 배우 류도현, 이나겸, 그리고 아역 배우 하리엘이 출연한다.<n><n>영화는 대정전 당시 17일간 완전한 암흑 속에 고립된<n>서울 5지구의 한 공동체를 배경으로,<n>‘빛’이라는 존재가 단순한 전력이나 기술이 아니라<n>인간의 연결, 기억, 그리고 희망의 상징이었음을 보여준다.<n><n>특히 영화는 전기가 복구된 이후에도<n>“불이 켜져도 마음은 여전히 어두웠다”는<n>트라우마 세대의 현실을 담담하게 그려내며,<n>심리치료 전문가들의 실제 상담 기록 일부를 각색한 대사로<n>현실감과 울림을 더했다.<n><n>정윤하 감독은 제작발표회에서 이렇게 밝혔다.<n><n>“대정전은 단순한 사고가 아니라, 인간이 ‘빛에 의존해 잃어버린 감각’을 보여준 사건이었어요.<n>이 영화는 기술 이전의 인간, 다시 서로를 바라보는 인간의 이야기입니다.”<n><n>영화의 하이라이트 장면은,<n>모든 불이 꺼진 지하 대피소에서<n>사람들이 서로의 맥박을 느끼며 ‘불 대신 심장소리로 시간을 세는’ 시퀀스다.<n>시사회에 참석한 관객들은 “단 한 줄의 대사보다 숨소리가 더 강렬했다”고 평했다.<n><n>〈빛의 끝에서〉는 이미 베니스 영화제 비경쟁 부문 초청을 확정했고,<n>평론가들은 “2040년대 한국 영화의 정점이 될 작품”이라 평가하고 있다.<n>개봉은 오는 12월 24일,<n>‘성탄의 불빛이 다시 켜지는 날’에 맞춰 예정되어 있다.",로조,로하배우님이 계속 말한 영화가 이건가?,닥화,내년 너무 기대된다!!,염세열,대정전 잊지 맙시다.,모모,그 당시의 피해자님들에게 상처가 되지 않았으면 하네요..
7,0,"“화성 보내달라” 패러디 챌린지, SNS 밈으로 폭발적 유행",왕승리,45,168,"“#화성보내달라”라는 문구가 전 세계 SNS를 뒤덮고 있다.<n>처음엔 단순한 유머로 시작된 밈이었지만,<n>지금은 지구 잔류민을 조롱하는 패러디 챌린지로 번지며 논란이 커지고 있다.<n><n>이번 유행은 인기 크리에이터 **‘나인오비트’**가 올린 영상에서 비롯됐다.<n>그는 화성 이주 티켓을 받지 못한 사람을 연기하며<n>“나도 공기 좀 마셔보자~ 제발 보내줘요~”라고 외치는 장면을 올렸고,<n>해당 영상은 하루 만에 8천만 회 이상 재생됐다.<n>이후 수많은 이용자들이 같은 포즈와 대사를 따라하며<n>‘화성 보내달라 챌린지’를 확산시켰다.<n><n>문제는 이 챌린지가 단순한 유머를 넘어<n>**‘남은 사람들을 비웃는 사회적 풍속’**으로 변질되고 있다는 점이다.<n>특히 화성 거주민 인증 배지를 단 이용자들이<n>지구 배경을 합성해 “이제 곧 꺼질 행성, 안녕~” 같은 문구를 올리며<n>일종의 계급 조롱 콘텐츠로 소비하고 있다.<n><n>이에 대해 사회학자 배지현 박사는 이렇게 지적했다.<n><n>“이건 웃음이 아니라, 절망의 구조를 재현하는 폭력입니다.<n>누군가의 생존 불안을 ‘유머’로 가공하는 시대의 잔혹함이죠.”<n><n>일부 SNS 플랫폼은 ‘사회 갈등 조장 콘텐츠’로 판단해<n>챌린지 관련 해시태그를 일시 차단했지만,<n>이미 수많은 이용자들이 **“검열이 오히려 더 재밌다”**며<n>패러디 2차 밈을 만들어내고 있다.<n><n>한편, 지구 3구역의 한 시민은 인터뷰에서<n>“진짜 화성보다 무서운 건 인간의 냉소”라며<n>“살아남은 우리가 죄인 취급을 받는 기분”이라고 말했다.<n><n>전문가들은 이번 사태를 **‘디지털 시대의 도덕 붕괴’**로 평가했다.<n>공동체가 사라진 사회에서,<n>웃음은 더 이상 유대의 표현이 아니라 우월감의 언어로 변하고 있다는 것이다.",어짜다보니 ,저딴 챌린지가 유행하면 되냐?,석기시대,이건 완전한 조롱이지,휴슝,"이런 뇌없는 챌린지가 3,4구역에게 얼마나 상처가 될지 생각해봐라",두부,뭣도 모르고 하게 되는 챌린지 문화는 없어져야합니다.
8,0,지하수 농장 첫 수확 성공… 잔류민 식량 자급률 4% 상승,신시원,288,32,"지구에 남은 이들을 위한 ‘지하수 기반 농업 프로젝트’가<n>드디어 첫 결실을 맺었다.<n>환경부는 오늘 오전 공식 브리핑에서<n>“제3구역 남부 지하수 농장에서 첫 작물이 수확됐다”며<n>“잔류민 식량 자급률이 전월 대비 4% 상승했다”고 발표했다.<n><n>이번 성과는 **‘폐수 순환형 수경 재배 시스템’**을 도입한 이후 처음이다.<n>이 시스템은 오염된 지하수를 다단 여과 장치를 통해 정화하고,<n>그 물을 다시 농작물 재배에 사용하는 방식이다.<n>기존에는 수질 불안정과 전력 부족으로 안정적인 운영이 어려웠지만,<n>최근 정부가 제공한 소형 자가 발전 모듈 덕분에<n>24시간 순환이 가능해졌다.<n><n>수확된 주요 작물은 **합성잎 채소 ‘그린블루프’**와<n>단백질 함량이 높은 지하콩 3세대 품종이다.<n>이 작물들은 기존의 인공 단백질 식단보다 맛과 식감이 개선되어,<n>“살 맛이 난다”는 반응이 곳곳에서 나오고 있다.<n><n>현장 책임자 박서준 기술관은 이렇게 전했다.<n><n>“우린 이제 겨우 밥 한 끼를 자급할 수 있게 된 겁니다.<n>하지만 이건 시작이에요.<n>땅이 아직 우리를 기억하고 있었다는 증거니까요.”<n><n>제3구역 주민들은 이번 소식을 “작지만 큰 기적”이라며 반겼다.<n>특히 어린이 구호센터에서는<n>“이제 아이들에게 신선한 채소를 줄 수 있다”며<n>눈물을 보이는 교사들의 영상이 SNS에서 화제가 됐다.<n><n>전문가들은 이번 성과가 단순한 농업 실험을 넘어,<n>**“인류의 생존 감각을 되찾는 전환점”**이라고 평가했다.<n>환경사회학자 이도하 박사는<n>“생존의 조건이 기술이 아니라 ‘의지’임을 보여준 사례”라며<n>“지구는 여전히 인간에게 남은 가능성을 속삭이고 있다”고 말했다.",오만가지,어떻게든 살아가보자,주차냥,이렇게 하나씩 만들어나가는거지,노을,우리 잔류민들도 살 수 있다,시금치,됐고 로켓수용인원이나 늘려라
9,0,"[단독]AI 연예인‘리아-04’, 62년 만에 유재석 제치고 ‘연예인 호감도 1위’ 등극",임세리,45,189,"“이제 인간이 아닌 존재가 ‘국민 MC’ 자리를 차지했다.”<n>AI 연예인 **‘리아-04 (LIA-04)’**가 한국방송연구원(KBRI)이 발표한<n>‘2049 국민 연예인 호감도 조사’에서 62년 만에<n>유재석을 제치고 1위에 올랐다.<n><n>이번 조사는 전국 2만 3천 명을 대상으로 진행됐으며,<n>응답자의 41.7%가 “가장 신뢰하고 보고 싶은 인물”로 리아-04를 꼽았다.<n>그 뒤를 유재석(39.8%), 배우 한서빈(22.5%)이 이었다.<n><n>리아-04는 지난 2048년, 글로벌 엔터테인먼트사 뉴웨이브스튜디오가 개발한<n>완전 자율형 AI 엔터테이너다.<n>표정 생성 알고리즘과 언어 감정 예측 모델을 탑재해,<n>실시간 인터뷰·예능 대본·SNS 교류까지 완전히 자율 수행할 수 있는 최초의 AI 연예인으로 알려져 있다.<n><n>특히 리아-04는<n>‘거짓이 없는 유머’, ‘정치적 중립’, ‘24시간 팬 응답’이라는 특징으로<n>인간 연예인과는 다른 형태의 ‘투명한 스타’를 상징하게 됐다.<n>팬들은 “스캔들도, 피로도도 없는 완벽한 아이돌”이라며<n>열광적인 지지를 보냈다.<n><n>문화평론가 **정시우 교수(한국미디어대)**는<n><n>“이건 단순한 인기 투표가 아니라, ‘감정의 신뢰’를 기술이 대체한 사건”이라며<n>“인간이 실망할 때마다, 기계는 신뢰를 얻는다”고 분석했다.<n><n>반면 일부 연예계 관계자들은<n>“AI가 인간의 ‘공감’을 모방할 순 있어도 진심은 없다”며<n>“호감도 1위라는 타이틀이 과연 무엇을 의미하는가”라는 우려도 제기했다.<n><n>한편 리아-04는 오는 12월,<n>자신이 직접 작사·작곡·편집한 디지털 앨범 **〈HELLO, HUMAN〉**을 발매할 예정이다.<n>소속사는 “AI가 만든 첫 자전적 앨범”이라며<n>“예술과 알고리즘의 경계를 허무는 새로운 시대의 선언이 될 것”이라고 전했다.",너나알아,드디어 우리 리아!!,은밀한손,유재석님은 돌아가셨는데도 계속 1등 하더니..,슬빛,세대가 바뀌긴 했다..,유노왓,리아야 축하해!!!
10,1,구원의 이름으로 버림받다 — 정부의 ‘오아시스 프로젝트’는 누구를 위한 것인가,윤세환,14,567,"“정부가 약속했던 건 ‘모두의 구원’이었다.<n>하지만 살아남은 건 언제나 같은 사람들이었다.”<n><n>정부의 화성 이주 프로그램 **‘오아시스 프로젝트’**가 공식 발표된 지 4개월,<n>그 구호의 화려함 뒤에 감춰진 냉혹한 배제 구조가 드러나고 있다.<n><n>최근 입수된 내부 행정 보고서에 따르면,<n>‘오아시스’ 1차 이주 대상자 중 92%가 1·2구역 거주민이었으며,<n>3·4구역 시민의 실제 선발 비율은 0.04%에 불과했다.<n>정부가 내세운 “전 국민 대상 공정 추첨”은 사실상 존재하지 않았던 절차였다.<n><n>그럼에도 정부는 여전히 “모든 국민에게 공평한 기회를 제공했다”는 입장을 고수하고 있다.<n>국가이주청 대변인은 11일 브리핑에서<n><n>“기술적 한계로 인해 단계적 이주가 불가피했을 뿐,<n>최종적으로 모든 국민이 보호받을 것”이라고 밝혔다.<n><n>하지만 전문가들은 이 발언이 정치적 언어로 포장된 기만이라고 지적한다.<n>사회학자 **한도연 박사(서울미래대)**는<n><n>“구원의 언어는 늘 아름답다.<n>그러나 그 언어는 결국, 누군가를 구하지 않아도 되는 이유로 작동한다”고 말했다.<n><n>3구역 출신 생존민 이수연(29) 씨는 인터뷰에서 울먹이며 말했다.<n><n>“뉴스에선 다 같이 간다더니, 우리 구역 명단은 처음부터 없었어요.<n>이건 선택이 아니라 버림이에요.”<n><n>현재 온라인 커뮤니티에는<n>‘#구원의이름으로’, ‘#오아시스는거짓말’, ‘#남겨진사람들’<n>해시태그 운동이 급속도로 번지고 있다.<n>일부 시민 단체는 “정부가 의도적으로 3·4구역 시민을 배제한 정황”을 근거로<n>국제인권위원회에 공식 제소를 준비 중이다.<n><n>정치평론가 정해빈 교수는 이렇게 말한다.<n><n>“이건 단순한 행정 실패가 아니라, ‘구원을 설계한 권력’의 이야기다.<n>오아시스는 국민을 살린 게 아니라,<n>국민을 구분한 시스템이었다.”",양새바리,이제는 누가 구원해준다는 말 자체가 무섭다. 처음부터 우리 같은 사람은 대상이 아니었잖아.,토스,우리가 호구냐,세섬,이건 구원이 아니라 공포를 이용한 통치야,침덩이,"정부는 늘 ‘모두’라고 말하지만,그 ‘모두’ 안에 나는 단 한 번도 포함된 적이 없었다."
