id,class,title,youtuber,subscribers,views,like,c_num,c1_name,c1_content,c1_like,c2_name,c2_content,c2_like,c3_name,c3_content,c3_like,c4_name,c4_content,c4_like,c5_name,c5_content,c5_like
1,0,10분 만에 완성하는 쌩얼 메이크업 ,소라의하루,4.3만,155554,763038,5,달빛토끼,아니 바로 알려주면 안됨? 이런 영상 이제 좀 지침;; ,6887,흐린날의노래,얘는 왤케 평화롭냐 하긴…,6004,핑핑이탓,마지막 날까지 뷰티는 계속되네 ㅋㅋㅋㅋㅋ,5285,토토,언니 너무 예뻐요오오 ㅎㅅㅎ !!!! 예뻐서 맨날 챙겨봐용 히히,1588,나만의세계,쌩얼의 기준이 뭔가요???,3982
2,0,요즘 핫한 인스타 감성 카페 신메뉴 솔직 후기!,밥맛나는남자,13.7만,540650,197272,5,푸딩요정,여기 바이럴 너무 심하다. 제가 여기 가봤는데 사장님이 불친절하더라고요 다시 안 가고 싶은 카페임.,6911,잔잔파도,헉 여기 저도 가봤어요..! 사진보다 실물 더 예뻤어요,2559,스킨쿨도는중,저긴 진짜 sns용인듯,2328,냥코,우와 궁금했었는데!!! 역시 빠르게 올려주실 줄 알았어용 감사해요ㅎㅎㅎ,6508,지나가는사람1,생각부다 좋네요옹?? ,9226
3,0,직장인 공감 100% 짤! 주말에만 생기는 이상한 능력,자취남자,8.9만,927841,549704,5,초코별,나만 그런줄;; 직딩은 힘들다…,3591,비정원,이건 과학임. 회사 근처만 가면 자동으로 체력 0됨.,8245,치킨한입남김,직장인 버전 에너지 관리 시스템 있어야됨 ,7186,꾸밍,저도 직딩할래요 취업 시켜주세요….,2960,탑솔고양이,다들힘내…내힘들다…,6242
4,0,내 통장 잔고 지키는 꿀팁 3가지 (자취생 필독),생활꿀팁연구소,33.5,807541,166520,5,하늘고래,돈 아끼는 가장 확실한 방법: 안 나가기,9085,냥탐,자취 3년 차인데 아직도 돈이 어디로 사라지는지 모르겠어요,8901,ㅇㅅㅇ냥,"월세, 공과금, 식비 빼면 꿀팁이고 뭐고 남는 게 없음",1298,오늘의햇살,진짜 필독이다 이건.,4957,1HP남음,오늘도 꿀팁 감사합니다!!,3797
5,1,UN-5 발표? 거대한 거짓말입니다. 속지 마세요.,리뷰하는남자K,22.9만,115760,777701,5,밤비손,또 선동 시작됐다 ㅋㅋ,2834,고슴도차,근데 이번엔 좀 다르지 않아? 느낌이 불길해,5110,하늘색,영상보다가 갑자기 소름…,6554,새벽커피,믿거나 말거나지만 난 준비함,9536,쿠쿠,정부 발표 믿는 게 더 이상함,5392
6,1,오아시스 프로젝트는 1% 부자들만 가는 쇼!,집수리하는형,14.7만,275361,819434,5,구름,ㄹㅇ 티켓값 보고 현타 옴,8129,별우여,서민은 화성 가기 전에 굶어 죽음,6858,플로리안,저기 간다던 연예인 봤다던데…?,9986,작은가적,또 다른 세상이 아니라 또 다른 불평등,2989,리요,이름부터 사기냄새 남 오아시스가 아니라 미라지임,8803
7,1,저는 안 믿고 지구에 남습니다.,공구남TV,12.9만,820205,663554,5,민트고양이,멋있다… 진짜 용기다,5032,오기좋,근데 남아서 뭐 먹고 살 거임?,4966,나른한청춘,"나도 남을래, 여기가 내 집이야",8646,딸기머핀,믿음보다 평온을 택한 자,6231,야루,지구야아아악 끝까지 버텨보자아아아악,3682
8,1,멸망이라기엔 너무 평화로운 동네,이너피스,1만,339393,498348,5,소다캔디,그러게요 미디어만 난리네요,3599,커피향,우리 동넨 난린데 거긴 어딤?,7663,온도37도,ㄹㅇ 현실은 심각하지가 않음.,3251,미소곰,이게 바로 폭풍전야지.,5507,요나,,4018
9,2,"솔직히 아직도 반신반의... 멸망 vs 구라, 뭐가 진짜야?",현실토크쇼,9.9만,913083,175313,5,퐁당냥,요즘 이 주제만 나옴 ㅋㅋ,5189,낮잠요정,근데 구라라면 왜 그렇게 숨기는 거야,9405,설창한스푼,오히려 멸망인 게 더 무서움,3406,구름쿠션,난 그냥 고양이 영상만 본다,2614,하림,진실이 뭐든 지친다 이제,8559
10,2,"남은 1년, 뭘 해야 할지 모르는 사람들의 현실.jpg",오늘도잡담,1.4만,616202,857186,5,감튀왕,ㄹㅇ 이게 진짜지… 여태 본 릴스 중에 제일 현실적임,3662,늦잠대마왕,다들 일은 안 놓는데 이유는 몰라,7306,디지털감성,이게 인류의 슬픔이자 집착이지,8718,무명,"오늘도 출근하는 나, 지구 끝난대도~ ~ ~ ",6755,단추 ,님들아 그냥 밥이나 먹자…,4317
11,2,님들 이걸 진짜 믿나요? 지구멸망이 구라인 3가지 이유,커피한잔수다,4.4만,527944,37623,5,밥먹니냐,반박불가… 근데 이상하게 불안함,5652,초코우유조아,나 이 영상 보고 마음 좀 놓였음,9392,유리별,과학자도 저러는데 믿어야지,5848,익명고양이,댓글 분위기 너무 평화로워서 더 무서움,5641,재우,3가지 중에 하나만 틀려도 큰일인데요,6987
12,2,"지구 멸망은 무섭지만, 정부의 의도가 더 의심스러움!",고막친구들,64.7만,107742,736676,5,라면물끓이는중,맞아… 뭔가 숨기고 있는 거 같음,4353,주말러버,갑자기? ㅋㅋㅋㅋ 그냥 살아 ,4042,빛기,진짜 멸망보다 통제가 더 무서움,7320,조용한사람,요즘 뉴스는 전부 누가 쓴 건지도 모르겠어요..,9526,강철심장,다들 의심병 있나요… 제발 ㅠㅠ 이런 영상 그만 떴으면…,3483
13,3,"[분노주의] 1, 2구역 특권층만 태운 ATC 우주선 이륙 포착! 3구역은 다 죽으라는 건가!""",공부하는직장인,7.8만,529128,794653,5,어제의나,와 이게 나라냐,4056,배달기다리는중,3구역은 사람도 아니냐고,3006,감정적이야,그래놓고 평등사회래ㅋㅋ,9007,이름없는별,영상 진짜 실화임? 눈물 난다,1286,흑호,불타는 하늘 밑에서 보고만 있었다,6622
14,3,당신이 눈치채지 못한 화성의 실제 변화,생각정리TV,10.5만,691635,279056,5,맥북든개구리,오아시스 기지 위치 저기 맞지?,6157,헤드샷,아 가면 재밌겠다 ㄹㅇ ,7698,솜솜,저기서 캔 감자는 더 맛있을듯,8888,그냥그런하루,그러고보니 예전부터 화성에 뭐 한다고 들었었는데 이거였구나 이제 확 체감되네,8067,진격의늑대,아 화성 갈끄야 ~~~,1949
15,3,3구역 주민들 보세요! 우리도 생존권 요구해야 합니다.,코딩기초부타,4.6만,117389,986411,5,오늘도퇴근못함,3구역 힘내자 제발,3206,피닉스푸활,이제라도 목소리 내야지,3181,루루,우리한텐 기회조차 없었음,2434,오늘은그냥,이게 진짜 현실임,8481,독수리눈,누가 대신 싸워줄 것도 아니잖아 ,1659
16,3,우리나라 탈출선 개쩌는 이유 3가지,기덕이(기계덕후TV),11.4만,170543,328343,5,게임하다망,나는 내 몸을 맡길 준비가 다 됐!!! ,6583,팀킬금지,ㄹㅇ 기술력 미쳤음 이 정도면 우리나라가 화성 점령할지도 ㅋㅋ,5789,미요,솔직히 무서웠는데 그래도 자국 기술 든든하다.,6292,텅빈방안,"이래서 3,4구역 못타는거네 ..ㅎㅎ…..",3534,냉이,내 세금 여기다 다 갖다낸거구나 그럼 인정,8454
17,4,경고! 망설일 시간 없습니다. 지금 당장 우주선 타세요!,테크로그,25.2만,982670,106318,5,이게나라냐,누가 안 타고 싶어서 안타냐고 못타는거지 ;;;;;;;; 하…,4399,미드정글탑,그래도 약간 설득된다 무섭게,3119,담츄,영상 퀄 ㄹㅇ 좋다,2189,현실도피중,이거 보니까 괜히 심장 쿵쿵 거린다… 뭔가 큰일난듯,6623,강타한방,아 몰라 그냥 나도 타고 싶다 지구 너무 무서워 요즘 아아,6242
18,4,"불신자들 시간 낭비할 때, 우리는 화성 시민이 됩니다",조용한하루,17.3만,18766,96477,5,치킨먹는중,불신자들이 댓글에만 목숨 거는 동안 우린 이미 짐 다 싸고도 남았죠,3277,유리멘탈,그러게 요즘 미디어 보면 불신자들이 너무 많음;;;,4607,쪼리,의심만 하다가 기회 놓치는 사람들 꽤나 있어서 좀 안쓰럽기도…,9714,감정과다,전 준비돼써용 ,1541,의미없다,다같이 살았으면 좋겠다…ㅠㅠ ,7810
19,4,패닉은 그만! 여러분들 제발 다같이 탈출합시다,그림자필름,12.8만,547039,679452,5,탕후루장인,패닉보단 준비! 말은 맞음… 지금이 행동할 타이밍,3856,버그의신,이럴 때일수록 서로 믿고 움직여야 하는 거 아닌가요…?,8814,아롱,솔직히 무섭지만… 혼자 남는 게 더 무서움,6906,피로누적,누가 리더 좀 해줘요;; 진짜 혼자선 결심 못하겠음,4968,대출살자,이거 들으니까 갑자기 진짜 ‘탈출’이 현실처럼 느껴진다;;,1432
20,4,이 릴스 보고도 안 믿는다면... 당신의 최후는 이겁니다.,시끄러운남자,34만,845045,666018,5,별이잠든밤,이런 거 볼 때마다 괜히 등골 서늘해진다…,5649,백도어러쉬,무섭게 말하지 말라고ㅠㅠ 근데 또 설득력 있어서 더 무서움,5935,비비,안 믿는 사람들 나중에 영상 다시 찾아보면서 후회하겠지…,3511,내이름없다,마지막 장면 진짜 충격이었음 아직도 머릿속에 남는다 ,6257,피곤,이거 그냥 낚시 영상인 줄 무서워.,2526
