id,class,title,reporter,like,dislike,content,c1_name,c1_content,c2_name,c2_content,c3_name,c3_content,c4_name,c4_content
1,0,"성범죄 혐의 정준일, 과거 교제 폭로 이어 또 논란 “너도? 나도 사귀었다”",양수환,14,1005,"성범죄 혐의로 재판 중인 전 방송인 정준일이 또다시 논란의 중심에 섰다. 최근 온라인 커뮤니티를 통해 과거 그와 교제했다고 주장하는 여성들의 폭로가 이어지며, “너도? 나도 사귀었다”는 제목의 게시글이 확산되고 있다. 정준일 측 변호인은 “허위 사실 유포에 대해 법적 대응을 검토 중”이라고 밝혔다. 대중은 “과거 행적까지 밝혀져야 한다”며 비판적인 여론을 보이고 있다.",침챔,피해자들의 용기에 박수 칩니다 잘하셨어요,꾸꾸,완전 미친*이었네,뇌절봇,이 사라을 좋아했던 시간들이 아깝다,슬릭모드,오빠 이건 아니죠.......
2,0,"서울 다이너스, 2049 K리그 우승…“마지막 시즌, 역사로 남았다”",정상훈,1023,2,서울 다이너스가 2049 K리그에서 최종 우승을 차지하며 유종의 미를 거뒀다. 이번 시즌은 지구에서 열리는 마지막 정규 리그로 기록될 전망이다. 다이너스는 결승전에서 부산 포스틴을 3-1로 꺾고 통산 6번째 챔피언 자리에 올랐다. 주장 박윤호는 “이제 더 이상 경기가 없다는 게 믿기지 않는다”며 울먹였다. 팬들은 “다이너스와 함께한 세월이 그리울 것”이라며 마지막 우승을 축하했다.,간디,다이너스 오오~~ 다이~너스~ 오오~,룰루,피날레는 역시 다이너스!!!!,숭늉좌,화성 가서도 더 훌륭한 경기력 보여주길!,델타,오오~ 다이~너스~ 오~! 오~! 오~!
3,0,"‘이 시대의 전설’ 육타니, 돌연 은퇴 선언…“내 꿈은 화성에서 야구하기”",김미소,889,1,"세계적인 타자 육타니가 7일 긴급 기자회견을 열고 돌연 은퇴를 선언했다. 그는 “지구에서의 야구는 끝났다. 이제 내 꿈은 화성에서 다시 시작하는 것”이라며 미소를 보였다. 20년간 통산 612홈런을 기록한 그는 ‘지구 마지막 홈런왕’으로 불려왔다. 팬들은 “그의 말이 현실이 되길 바란다”, “화성 리그에서 다시 보자”라며 아쉬움과 응원을 동시에 전했다.",유명인,육타니 응원한다!!!,총당,화성에서도 멈출 수 없지,참치런,육타니의 끈기는 아무도 그를 막을 수.없다,닉스,육타니는 진짜 존경할만함
4,0,"“남녀 동반 우승 꿈꿨지만”…한국 양궁 컴파운드, 광주 세계선수권서 동메달 1개로 마무리",이승한,554,33,"한국 양궁 대표팀이 광주에서 열린 세계선수권에서 동메달 1개를 획득하며 대회를 마쳤다. 남녀 동반 우승을 목표로 했지만, 마지막 순간 아쉽게 결승 진출에 실패했다. 대표 선수 최준희는 “마지막까지 집중했지만 한 발이 부족했다”고 소감을 전했다. 이번 대회는 ‘지구 마지막 세계선수권’으로 불리며 전 세계적인 관심을 모았다.",마일클,너무 아쉽지만 고생했다~~,찌개,마지막까지 열심인 모습이 정말 감동이었어요 ㅠㅠ,스압요정,한국 양궁 화이팅!,코발트,진짜 감동 뿐인 경기였다
5,0,"‘괌튜브’ 부부, 비공개 결혼식 뒤 2세 존재 인정…딸로 밝혀져",성승연,820,190,"유명 유튜버 커플 ‘괌튜브’가 이미 혼인신고를 마쳤으며, 슬하에 한 명의 딸이 있다는 사실이 뒤늦게 알려졌다. 두 사람은 최근 SNS 생방송에서 “더 이상 숨길 이유가 없다”며 결혼 사실을 공식적으로 인정했다. 이들은 “아이를 위해 조용히 지내고 싶었다”며 딸의 존재를 밝히는 데 신중한 태도를 보였다. 팬들은 “응원하겠다”는 반응과 함께 일부에서는 “속였다는 느낌이 든다”는 비판도 제기됐다.",짹쓴,괌튜브가 결혼을??,두부,어케했누 ㄷㄷ,밈장군,유튜브의 폐혜다,노이즈,딸까지 있다니.. 딸은 아빠를 닮는다던데...
6,0,"가수 산딸기, 결혼 5년 만에 이혼…소속사 “서로 다른 길 가기로”",김시연,470,230,"대중가수 산딸기가 결혼 5년 만에 협의이혼 절차를 마무리했다. 소속사는 7일 공식 입장을 통해 “산딸기와 배우자 A씨가 최근 원만하게 합의하고 각자의 삶을 응원하기로 했다”고 밝혔다. 두 사람은 과거 예능 프로그램에서 ‘금슬 좋은 부부’로 알려졌으나, 최근 몇 달간 별거설이 돌며 팬들 사이에서 이혼설이 제기돼왔다. 산딸기는 “개인적인 사유로 힘든 결정을 내렸다”고 전했다.",성성와,요즘 이혼이 뭐 대순가,곰국,5년동안 고생했네,치킨천재,모든 발걸음을 응원합니다!,모노그램,오래 참았다..
7,0,"‘과학고 자퇴’ 영재 백상환, 옥스퍼드대 도전했지만 불합격 통보",김도연,1150,100,‘과학고 영재’로 주목받았던 백상환 군이 영국 옥스퍼드대 지원 결과 불합격 판정을 받은 것으로 확인됐다. 백 군은 지난해 “창의적인 교육을 위해 자퇴를 결심했다”며 SNS를 통해 자신의 공부 과정을 공개해 화제를 모았다. 그러나 최근에는 “결과가 아쉽지만 후회는 없다”고 밝히며 담담한 심정을 전했다. 교육계 관계자는 “그의 도전 자체가 의미 있다”고 평했다.,알라딘,도전이 대단하지 고생했어요~~,샤샤,영재의 끝은 결국..,삼겹용,그냥 학교 다녀라,닷제로,도전하고 실패에서도 많은 걸 배울 수 있음
8,0,"배우 이일애 “중2 딸, 아이돌 오디션 준비 중…쌍둥이 훈육은 복식호흡으로”",함도은,580,106,"배우 이일애가 방송을 통해 중학교 2학년 딸이 아이돌 오디션을 준비 중이라고 전했다. 그는 한 예능 프로그램에서 “딸이 춤 연습을 하루도 빠지지 않는다”며 자랑을 아끼지 않았다. 이어 “쌍둥이 아들들을 혼낼 땐 복식호흡으로 한다”며 웃음을 자아냈다. 팬들은 “진짜 현실 엄마다”, “딸의 꿈을 응원한다”는 반응을 보였다.",광장,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,모찌,중2라니 짝세긴 하다..,코딩망함,카리스마 이일애가 애엄마라니 ㅋㅋ,링크,복식호흡 이러네 이게 뭔 기사야 ㅋㅋ
9,0,"블랙갈릭, VMA서 ‘베스트 그룹상’ 수상…관우 이어 연이은 겹경사",한사랑,1422,800,글로벌 보이그룹 블랙갈릭이 미국 MTV 비디오뮤직어워즈(VMA)에서 ‘베스트 그룹상’을 수상했다. 지난달 ‘관우’ 앨범으로 국내 음원차트를席권한 데 이어 국제 무대에서도 성과를 거둔 것이다. 멤버들은 “이 상은 팬들이 만들어준 결과”라며 수상 소감을 전했다. 업계 관계자는 “블랙갈릭이 이제 명실상부한 월드 클래스 그룹으로 자리 잡았다”고 평가했다.<n>,공중,역시 우리 블랙갈릭!!,쿠키,매운 맛을 보여줘~!!!,야자탈출,김상훈 고생했어 네 덕분이야 !!!,퓨즈온,대한민국 현존 1위 그룹입니다.
10,1,지구는 여전히 안정적… ‘인류 당장 멸망’은 허구,성에스더,960,210,"신대한민국 정부가 ‘31일 뒤 인류 멸망’을 공식 발표한 지 이틀째, 과학계와 시민사회는 “근거가 불투명하다”며 반발하고 있다. 정부는 “지구 시스템 붕괴가 임계점에 도달했다”고 주장하지만, 여러 독립 연구기관이 공개한 자료에 따르면 지구 환경은 여전히 ‘변동성 속 안정 구간’에 머물러 있다는 분석이 잇따르고 있다.<n><n>국가기후관측센터와 민간 위성데이터 분석소가 공동 발표한 최신 보고서에 따르면, 대기권 내 탄소농도 상승폭은 지난 5년 평균치와 유사하며, 극단적 기상 이상 현상 역시 통계적 이상 범위에 포함된 것으로 나타났다. 즉, 일부 지역의 국지적 이상기후를 근거로 ‘지구 전체 붕괴’로 단정하는 것은 과학적으로 무리라는 지적이다.<n><n>국내 환경학자 김도현 박사는 “지금 상황은 경계해야 할 수준이지만, 정부가 제시한 ‘한 달 내 시스템 붕괴’는 검증되지 않은 수치”라며 “비공개 자료를 근거로 한 멸망 예측은 과학이 아니라 정치적 해석에 가깝다”고 말했다. 실제로 정부는 ‘UN-5 기후모델’을 인용하며 멸망 예측을 정당화했으나, UN-5는 신대한민국이 직접 참여하지 않은 기관으로 그 세부 알고리즘 역시 공개되지 않았다.<n><n>이 같은 발표가 사회적 불안 심리를 증폭시키고 있다는 비판도 제기된다. 지난 24시간 동안 포털사이트 실시간 검색어 상위에는 ‘멸망’, ‘이주 신청’, ‘오아시스 프로젝트’가 나란히 올랐으며, 일부 지역에서는 정부 발표 직후 생필품 사재기가 벌어졌다. 시민들 사이에서는 “이건 과학이 아니라 공포를 이용한 통제”라는 반응이 확산 중이다.<n><n>한편, 환경단체 연합은 긴급 성명을 내고 “멸망론은 현실보다 정치 일정에 가깝다”며 “지구를 떠날 근거는 없으며, 지금 필요한 것은 환경 복구 정책의 강화”라고 주장했다. 전문가들 또한 “지구의 생명 시스템은 여전히 복원력을 갖고 있다”며 “이주 계획보다 지구 내 회복 시나리오를 우선 검토해야 한다”고 촉구했다.<n><n>그럼에도 정부는 “UN-5의 데이터는 국제 검증을 통과했다”며 기존 입장을 고수하고 있다. 그러나 비공개 모델과 단일 경로의 발표만으로 ‘인류 붕괴’를 선언하는 것은 과학적 합의로 보기 어렵다는 지적이 이어진다.",서겆,그치 그런거지??,비비,"오늘도 하늘 맑고 바람 부는데, 멸망이라니 우습다.",밥도둑,멸망 장사로 국민을 불안하게 만드는 게 진짜 위험이다.,심볼릭,미지수의 화성 가기 vs 그냥 지구에 남기 난 지구
