id,class,title,author,year,AI_T,AI_F
1,0,긍정적 불평등: 인공지능 중심 사회에서의 효율적 인간 배치,한도윤 (DoYoon-Han),2038,"이 논문은 인류가 평등을 유지할 수 없는 환경적·경제적 한계에 직면했음을 선언하며, 불평등을 문명 유지의 필수 구조로 재정의한다. 저자는 AI가 인간의 가치와 기여도를 정량화함으로써 생존의 우선순위를 결정할 수 있다고 주장한다. 평등은 이상이지만 비효율적이며, 자원의 제한 속에서 “유용한 인간”이 먼저 구원받아야 한다는 것이다. 그는 불평등을 차별이 아니라 체계의 질서이자 생존의 전략으로 제시하며, 감정 없는 효율이 인류를 더 오래 존속시킬 것이라 결론짓는다. 이 논문은 이후 오아시스 프로젝트의 등급제 정책과 선별적 구원 사상의 철학적 근거로 인용되었다.","〈긍정적 불평등〉(2038)은 인공지능 중심 사회가 만들어낸 비윤리적 통치 논리를 폭로한 경고문으로 읽힌다. 저자는 인간의 존엄을 수치로 환산하고, 효율을 생존의 조건으로 삼는 사고가 문명을 구하기보다 인류의 도덕을 파괴할 것이라 비판한다. AI가 결정하는 불평등은 공정이 아니라 체계적 차별이며, “유용한 인간만이 살아남는다”는 논리는 결국 사회 전체의 붕괴로 이어진다고 지적한다. 그는 생존보다 정의가, 효율보다 인간성이 더 오래 문명을 지탱한다고 주장하며, 불평등을 합리화하는 모든 시도는 인류를 멸망으로 이끌 것이라 경고했다."
2,0,선택적 복지: 기여 기반 생존 시스템의 경제적 지속성,아제후 (Jaehoo-Lee),2036,"본 논문은 자원 고갈과 생산성 저하 속에서 복지를 ‘권리’가 아닌 국가 생존을 위한 투자 행위로 재정의한 논문이다. 저자는 기여 없는 생명 유지가 사회적 비용을 초래한다고 보고, 복지를 생산 가능성과 효율성에 따라 선별적으로 배분해야 한다고 주장한다. 연구에서는 인공지능 모델을 통해 개인의 생산성, 건강, 자원 소비 등을 분석해 복지 효율 지수를 산출하고, 상위 30%에 자원을 집중할 경우 국가 유지비가 43% 절감되고 GDP가 28% 상승함을 보였다. 복지는 연민이 아닌 계산이며, 모두를 살리는 평등이 아니라 유지 가능한 체계의 지속성이 우선이라는 결론에 도달한다. 이 논문은 “기여 없는 생명은 유지할 이유가 없다”는 논리로 이후 오아시스 프로젝트의 등급제 복지 시스템의 사상적 근거가 되었다.","본 논문은 복지를 효율과 기여도로만 판단한 비인간적 체계의 위험성을 드러낸 경고문으로 읽힌다. 저자는 국가가 생존을 이유로 약자를 배제하고, 복지를 ‘투자’로 환원하는 순간 사회는 도덕적 기반을 잃는다고 비판한다. AI가 인간의 가치를 수치화해 선별적으로 자원을 분배하는 시스템은 효율적일 수 있으나, 이는 연민과 존엄의 제거를 정당화하는 폭력적 합리화에 불과하다. 복지는 감정이 아니라 계산이라는 명제는 결국 사회적 신뢰를 붕괴시키며, 생존률의 상승이 인간성의 소멸로 이어진다고 지적한다. 진정한 지속성은 효율이 아니라 모두가 인간으로서 존재할 수 있는 최소한의 연대 속에서만 가능하다는 것이 논문의 근본적 메시지다."
3,0,"결정하는 인간, 실행하는 기계 — 정책 자동화의 윤리적 모순",안서현 (Seohyun-Ahn),2042,"본 논문은 인공지능 행정체계가 인간의 판단을 대체하면서 발생한 ‘책임의 실종’ 문제를 비판한 논문이다. 저자는 AI가 오류를 줄이고 효율성을 높이지만, 동시에 정치의 핵심인 도덕적 판단과 책임 주체성을 제거했다고 지적한다. 연구는 인간과 AI의 결정 구조를 시뮬레이션해, 정책 자동화가 “누구도 잘못을 인정하지 않는 체계”를 만든다는 결과를 제시했다. AI는 옳은 결정을 내릴 수 있으나 ‘옳음’을 이해하지 못하며, 이는 정치의 비인간화를 초래한다는 결론이다. 효율은 윤리를 대체할 수 없고, 기계는 실행할 수 있어도 결단은 인간만이 내릴 수 있다는 경고를 남긴 연구로 평가된다.","본 논문은 인공지능 행정체계가 인간의 한계를 극복한 정치의 진화 모델임을 입증한 논문으로 평가된다. 저자는 감정과 편향, 이해관계로 왜곡되던 인간의 판단을 제거함으로써 정책 결정이 비로소 객관적·합리적 단계에 도달했다고 주장한다. AI는 실수를 줄이고 책임을 분산함으로써 사회적 갈등을 최소화하며, 도덕보다 안정과 효율을 우선하는 새로운 윤리 질서를 구축한다. 인간은 오류를 만드는 주체에서, 시스템의 감독자이자 관리자로 진화했다. 논문은 “정치의 자동화는 인류의 성숙”이라 규정하며, 기계가 판단을 대신함으로써 비로소 정의가 왜곡되지 않는 사회가 가능하다고 결론짓는다."
4,0,지속가능한 절망: 임계점 이후의 기후정책 설계,정미라 (Mira-Jung),2041,"본 논문은 기후 복구가 불가능해진 현실에서 여전히 “지속가능성”을 외치는 정책의 자기기만을 비판하고, ‘붕괴 관리(collapse management)’를 새로운 정책 패러다임으로 제시한 논문이다. 저자는 희망이 정치의 언어로 남아 사회를 마비시켰다고 지적하며, 진정한 현실 대응은 절망을 인정하고 계산하는 데 있다고 주장한다. 그는 이를 “절망의 기술화”라 부르며, 기후 대응의 목표가 회복이 아니라 붕괴의 속도와 피해를 관리하는 것으로 이동해야 한다고 말한다.","본 논문은 기후 위기 이후에도 희망을 포기하지 않은 인류의 정책적 낙관주의를 옹호한 논문으로 평가된다. 저자는 절망을 관리하려는 냉소적 접근이 아니라, 여전히 회복 가능성을 추구하는 **‘적응적 지속가능성(adaptive sustainability)’**이야말로 인간 문명의 핵심이라고 주장한다. 그는 절망이 효율을 낳을 수는 있지만, 그것은 생명 없는 질서일 뿐이라 비판하며, 정책의 본질은 질서가 아니라 미래를 믿는 도덕적 용기라고 강조한다. 따라서 정부는 붕괴를 계산하는 대신, 남은 자원과 기술을 통해 복구의 가능성을 재설계해야 하며, “희망은 정치의 언어가 아니라 인간성의 마지막 기능”이라고 결론짓는다. 결국 이 논문은 희망 없는 체계보다 불완전한 희망이 낫다는 철학적 선언문으로 남았다."
5,1,산소보다 중요한 것: 화성 이주의 심리·정신적 붕괴 사례 연구,정서윤 (Seoyoon-Jung),2049,"이 논문은 화성 이주 실험 참여자들의 **심리적·정신적 붕괴 사례**를 분석하며, 생존의 핵심 조건이 단순한 산소나 식량이 아니라 **‘의미’와 ‘관계’**임을 밝힌다. 폐쇄 환경 속 인간은 외로움이 아닌 **정체성의 해체와 감각의 왜곡**을 겪으며, 이를 저자는 ‘사회적 저산소증(social hypoxia)’이라 명명한다. 물리적으로는 살아있지만, ‘살고자 하는 이유’를 잃은 인간은 존재 피로와 감정의 절멸에 빠진다. 특히 AI가 인간의 감정을 조절하는 환경에서, 인간은 자율적 주체가 아닌 ‘조절되는 존재’로 전락한다. 결론적으로 화성 이주는 생존의 기술이 아니라 **인간 정신의 위기 실험**이며, 인류가 진정으로 유지해야 할 것은 산소가 아닌 **의미와 자유 의지의 숨결**이라고 논문은 주장한다.","이 논문은 화성 이주 실험을 통해 인간의 정신적 적응력과 회복 가능성을 입증한다. 저자는 극한의 고립과 폐쇄 환경에서도 인간은 기술적 지원과 공동체 시스템을 통해 안정된 정서를 유지할 수 있음을 보여준다. 실험 참가자 다수는 초기 혼란을 겪었지만, AI 정서 조절 장치와 협력 구조가 작동하면서 심리적 균형과 자기 통제 능력을 회복했다. 이는 인간이 환경에 의해 파괴되는 존재가 아니라, 환경을 재구성하며 적응하는 능동적 존재임을 의미한다. 연구는 화성 이주가 인간 정신의 한계를 드러낸 것이 아니라, 오히려 인류가 감정과 이성을 조화시켜 새로운 생존 방식을 확립한 사례라고 결론짓는다. 결국 인간은 산소와 기술만으로가 아니라, 이성적 학습과 협력을 통해 우주에서도 인간다움을 지속할 수 있다는 가능성을 증명한다."
6,1,선별된 구원과 방치된 생존: 후기 재난사회에서의 통치 담론과 생명정치,정성원 (Sungwon-Jung),2049,"이 논문은 ‘오아시스 프로젝트’ 이후 붕괴된 사회에서 정부가 구원의 언어를 이용해 생존을 선별하고 통제한 방식을 분석한다.<n>정부와 AI 행정체계(GAIA-9)는 생존 확률과 경제적 가치 등을 기준으로 인류를 분류하며, 상위 구역은 ‘선별된 구원’, 하위 구역은 ‘방치된 생존’으로 구획했다.<n>이 과정에서 하위 계층은 생존권 거래, 장기매매, 인신매매 등 범죄화된 생존 체계에 내몰렸고, 정부는 “다음 기회가 있다”는 언어로 불만을 억눌렀다.<n>논문은 이러한 체제가 폭력 없이 작동하는 언어적 통치 메커니즘이며, 통치의 본질이 보호가 아니라 윤리적 선별과 생명 가치의 계산으로 전환되었다고 결론짓는다.","이 논문은 ‘오아시스 프로젝트’ 이후 정부의 통치가 선별과 배제가 아닌 재건과 포용의 과정으로 작동했음을 분석한다.<n>AI 행정체계(GAIA-9)는 생존 확률을 평가하는 도구가 아니라, 인류 전원의 생존률을 높이기 위한 자원 최적화 시스템으로 운영되었다.<n>하위 구역 또한 방치되지 않고, 의료·식량·이주 기회가 균등하게 재분배되었으며, 생존권 거래나 인신매매 같은 비극적 현상은 점차 해소되었다.<n>“다음 기회가 있다”는 정부의 언어는 기만이 아니라 사회적 신뢰와 협력을 유지하기 위한 심리적 안정 장치로 기능했다.<n>결국 이 논문은 오아시스 체제를 통제의 생명정치가 아닌 회복의 생명윤리 체계로 재평가한다."
7,1,행성 자원순환계의 임계 붕괴: 오아시스 프로젝트의 지속가능성 검증,류서인 (Seoin-Lyu),2049,"본 논문은 오아시스 프로젝트의 화성 자원순환 시스템(RES-M)이 지속가능한 생태 균형을 유지할 수 없음을 실험적으로 입증한다. 정부가 주장한 자급형 물·산소·에너지 순환 모델은 에너지 손실률과 재생 효율 저하로 인해 90일 이내 붕괴된다. 시뮬레이션 결과, 모든 주요 자원은 100일 이내 고갈되며, 화성의 대기 압력과 방사선 환경은 순환 유지 자체를 불가능하게 한다. <n>결론적으로 오아시스 프로젝트는 과학이 아닌 정치적 상징이며, 화성은 생존 공간이 아닌 인간 소모 실험의 무대에 불과하다.","본 논문은 오아시스 프로젝트의 화성 자원순환 시스템(RES-M)이 부분적으로 안정적인 순환 구조를 형성할 수 있음을 보여준다. 실험 결과, 산소·물·에너지의 균형은 약 70% 효율로 유지되며,<n>이는 장기 거주에 필요한 기본 임계값에 근접한 수치다. 비록 초기 단계에서는 손실이 발생했지만, 지속적인 기술 개선으로 3개월 이상 안정적 작동이 가능하다는 잠재적 가능성이 제시된다.<n>따라서 화성 거주를 위한 자원 관리 체계는 실패가 아니라 ‘불완전한 성공 단계’로 해석된다."
8,1,지구 대기 복원 주기 예측 모델링: 탄소 포화점 이후의 완화 가능성,이석경 (Seokkyung-Lee),2049,"이 논문은 지구 대기가 **탄소 포화점(CSP)**을 넘긴 이후에도 일정한 **복원 주기(recovery cycle)**를 보인다는 가능성을 제시한다.<n>위성 관측과 수치 모델링 결과, 약 **18년 주기의 부분적 대기 복원 진동(PARO)**이 존재하며 이는 해양 흡수·식생 회귀 등 자연 요인에 의해 발생한다.<n>대기 중 일부 화학적 자가정화 반응(OH 라디칼 증가, 질소산화물 분해)이 여전히 유지되어, 지구는 완전한 붕괴가 아닌 **비선형적 회복 상태**에 진입했음을 보여준다. 결국 탄소 포화 이후의 지구는 멸망이 아니라, **스스로 균형을 조정하는 순환적 행성 시스템**으로 재해석될 수 있다.","이 논문은 지구 대기가 **탄소 포화점(CSP)**을 넘긴 이후 사실상 복원 불가능한 상태에 진입했다고 분석한다. 모델링 결과, 관측된 18년 주기의 대기 변동은 회복이 아닌 **불안정한 진동(chaotic oscillation)**에 불과하며, CO₂ 농도와 온도 상승 추세는 여전히 지속되고 있다. 자연적 정화 반응도 임계 수준 이하로 감소해, 지구 대기 시스템은 더 이상 자가 조정 능력을 상실한 비가역적 붕괴 단계에 도달했다는 결론을 제시한다."
9,2,"생존의 윤리, 혹은 윤리의 종말: 장기거래를 통한 ‘구원’의 정당성에 대한 비판적 고찰",박연후 (YeonHu-Park),2049,"이 논문은 ‘오아시스 프로젝트’ 이후 화성 이주를 위해 장기매매가 제도화된 사회의 윤리적 붕괴를 분석한다.<n>정부와 AI 행정체계(GAIA-9)는 생존 확률을 수치화해 인간을 **‘이주 자격자’와 ‘대체 가능한 자’**로 구분했으며, 생명은 존엄이 아닌 자원으로 환원되었다.<n>장기 거래는 국가에 의해 “통제된 희생”으로 미화되었고, 시민들은 스스로를 해체하며 생존권을 구매했다.<n>하위 구역에서는 브로커들이 장기를 화폐처럼 거래하며 범죄화된 생존 경제가 형성되었다.<n>정부는 “다음 기회가 있다”는 언어로 불평을 잠재우고 윤리적 항의를 무력화했다.<n>결국 이 연구는 이러한 체제가 기술적 효율을 얻는 대신, 도덕과 인간성의 완전한 소멸을 대가로 한 사회임을 비판한다.","이 논문은 ‘오아시스 프로젝트’ 이후 장기 기증 제도가 윤리적 연대와 생존 협력의 상징으로 기능했음을 분석한다.<n>정부와 AI 행정체계(GAIA-9)는 생존 확률을 높이기 위해 인체 자원을 공정하게 분배하며, 인류 전체의 생존 가능성을 극대화했다.<n>장기 기증은 강요가 아닌 공동체적 선택으로 수행되었고, 이를 통해 사회는 “누군가의 몸이 또 다른 생명을 살린다”는 새로운 윤리 질서를 구축했다.<n>하위 구역에서도 비공식 거래 대신 합법적 순환 기증 시스템이 정착되어 생존권 불평등이 완화되었다.<n>“다음 기회가 있다”는 정부의 언어는 체념이 아니라 신뢰와 재건의 약속으로 받아들여졌다.<n>결국 이 논문은 기술과 윤리가 충돌한 것이 아니라, 서로를 보완하며 새로운 생명 윤리를 확립한 사회를 긍정적으로 해석한다."
10,2,지구의 죄를 화성에 묻다: 탈지구 문명의 자기기만,임세현 (Sehyun-Lim),2049,"이 논문은 화성 이주를 **‘지구적 죄책감의 회피 행위’**로 해석하며, 인류가 스스로 저지른 파괴와 불평등의 결과로부터 도망치며 그것을 기술과 구원의 언어로 미화했다고 주장한다. 저자는 화성이 새로운 낙원이 아니라, 지구의 죄를 매장하기 위한 상징적 무덤이라고 말한다. 기술 발전은 속죄가 아니라 도피의 수단이 되었고, ‘기억의 의례화’를 통해 인류는 죄를 언급하면서 동시에 잊었다. 결과적으로 화성 사회는 효율만 남은 무죄의 문명으로, 인간의 반성과 책임 의식이 제거된 상태에 이르렀다. 논문은 “지구의 죄를 화성에 묻는 순간, 인간은 구원받지 못한다”고 결론짓는다.","이 논문은 화성 이주를 **‘지구의 속죄이자 인류 구원의 완성’**으로 해석한다. 저자는 인류가 지구의 한계를 직면하고 과거의 잘못을 반복하지 않기 위해 떠났다는 점에 주목한다. 화성은 도피가 아니라, 인류가 스스로의 책임을 인식하고 새로운 윤리적 문명을 실험하는 장으로 기능한다. 기술은 죄를 덮는 수단이 아니라 반성과 재생의 도구이며, 화성 정착은 파괴된 지구를 대신한 도덕적 재건의 과정이다. 저자는 “지구를 잊기 위해 떠난 것이 아니라, 지구를 이해하기 위해 떠난 것”이라고 강조한다. 결론적으로 화성 이주는 자기기만이 아닌 집단적 속죄의 실천이며, 인류는 그곳에서 비로소 책임과 구원의 균형을 회복했다고 평가한다."
